|Option|Type|Default Value|Description|
|settings.integrations.knative.proxy.deployment.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|settings.integrations.knative.requireIngressClass|bool||only serve traffic for Knative Ingress objects with the annotation 'networking.knative.dev/ingress.class: gloo.ingress.networking.knative.dev'.|
|settings.integrations.knative.extraKnativeInternalLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the knative internal deployment.|
|settings.integrations.knative.extraKnativeInternalAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the knative internal deployment.|
|settings.integrations.knative.extraKnativeExternalLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the knative external deployment.|
|settings.integrations.knative.extraKnativeExternalAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the knative external deployment.|
|settings.integrations.consul.datacenter|string||Datacenter to use. If not provided, the default agent datacenter is used.|
|settings.integrations.consul.username|string||Username to use for HTTP Basic Authentication.|
|settings.integrations.consul.password|string||Password to use for HTTP Basic Authentication.|
|settings.integrations.consul.token|string||Token is used to provide a per-request ACL token which overrides the agent's default token.|
|settings.integrations.consul.caFile|string||caFile is the optional path to the CA certificate used for Consul communication, defaults to the system bundle if not specified.|
|settings.integrations.consul.caPath|string||caPath is the optional path to a directory of CA certificates to use for Consul communication, defaults to the system bundle if not specified.|
|settings.integrations.consul.certFile|string||CertFile is the optional path to the certificate for Consul communication. If this is set then you need to also set KeyFile.|
|settings.integrations.consul.keyFile|string||KeyFile is the optional path to the private key for Consul communication. If this is set then you need to also set CertFile.|
|settings.integrations.consul.insecureSkipVerify|bool||InsecureSkipVerify if set to true will disable TLS host verification.|
|settings.integrations.consul.waitTime|string||WaitTime limits how long a watches for Consul resources will block. If not provided, the agent default values will be used.|
|settings.integrations.consul.serviceDiscovery.dataCenters[]|string||Use this parameter to restrict the data centers that will be considered when discovering and routing to services. If not provided, Gloo Edge will use all available data centers.|
|settings.integrations.consul.httpAddress|string||The address of the Consul HTTP server. Used by service discovery and key-value storage (if-enabled). Defaults to the value of the standard CONSUL_HTTP_ADDR env if set, otherwise to 127.0.0.1:8500.|
|settings.integrations.consul.dnsAddress|string||The address of the DNS server used to resolve hostnames in the Consul service address. Used by service discovery (required when Consul service instances are stored as DNS names). Defaults to 127.0.0.1:8600. (the default Consul DNS server)|
|settings.integrations.consul.dnsPollingInterval|string||The polling interval for the DNS server. If there is a Consul service address with a hostname instead of an IP, Gloo Edge will resolve the hostname with the configured frequency to update endpoints with any changes to DNS resolution. Defaults to 5s.|
|settings.integrations.consulUpstreamDiscovery.useTlsTagging|bool||Allow Gloo Edge to automatically apply tls to consul services that are tagged the tlsTagName value. Requires RootCaResourceNamespace and RootCaResourceName to be set if true.|
|settings.integrations.consulUpstreamDiscovery.tlsTagName|string||The tag Gloo Edge should use to identify consul services that ought to use TLS. If splitTlsServices is true, then this tag is also used to sort serviceInstances into the tls upstream. Defaults to 'glooUseTls'.|
|settings.integrations.consulUpstreamDiscovery.splitTlsServices|bool||If true, then create two upstreams to be created when a consul service contains the tls tag; one with TLS and one without.|
|settings.integrations.consulUpstreamDiscovery.rootCa.namespace|string||The namespace of this resource.|
|settings.integrations.consulUpstreamDiscovery.rootCa.name|string||The name of this resource.|
|settings.create|bool|true|create a Settings CRD which provides bootstrap configuration to Gloo Edge controllers|
|settings.extensions|interface|||
|settings.singleNamespace|bool||Enable to use install namespace as WatchNamespace and WriteNamespace|
|settings.invalidConfigPolicy.replaceInvalidRoutes|bool|false|Rather than pausing configuration updates, in the event of an invalid Route defined on a virtual service or route table, Gloo Edge will serve the route with a predefined direct response action. This allows valid routes to be updated when other routes are invalid.|
|settings.invalidConfigPolicy.invalidRouteResponseCode|int64|404|the response code for the direct response|
|settings.invalidConfigPolicy.invalidRouteResponseBody|string|Gloo Gateway has invalid configuration. Administrators should run `glooctl check` to find and fix config errors.|the response body for the direct response|
|settings.linkerd|bool|false|Enable automatic Linkerd integration in Gloo Edge|
|settings.disableProxyGarbageCollection|bool|false|Set this option to determine the state of an Envoy listener when the corresponding Proxy resource has no routes. If false (default), Gloo Edge will propagate the state of the Proxy to Envoy, resetting the listener to a clean slate with no routes. If true, Gloo Edge will keep serving the routes from the last applied valid configuration.|
|settings.regexMaxProgramSize|uint32|1024|Set this field to specify the RE2 default max program size which is a rough estimate of how complex the compiled regex is to evaluate. If not specified, this defaults to 1024.|
|settings.disableKubernetesDestinations|bool|false|Gloo Edge allows you to directly reference a Kubernetes service as a routing destination. To enable this feature, Gloo Edge scans the cluster for Kubernetes services and creates a special type of in-memory Upstream to represent them. If the cluster contains a lot of services and you do not restrict the namespaces Gloo Edge is watching, this can result in significant overhead. If you do not plan on using this feature, you can set this flag to true to turn it off.|
|settings.aws.enableCredentialsDiscovery|bool||Enable AWS credentials discovery in Envoy for lambda requests. If enableServiceAccountCredentials is also set, it will take precedence as only one may be enabled in Gloo Edge|
|settings.aws.enableServiceAccountCredentials|bool||Use ServiceAccount credentials to authenticate lambda requests. If enableCredentialsDiscovery is also set, this will take precedence as only one may be enabled in Gloo Edge|
|settings.aws.stsCredentialsRegion|string||Regional endpoint to use for AWS STS requests. If empty will default to global sts endpoint.|
|settings.aws.propagateOriginalRouting|bool||Send downstream path and method as x-envoy-original-path and x-envoy-original-method headers on the request to AWS lambda.|
|settings.aws.credential_refresh_delay.seconds|int32||The value of this duration in seconds.|
|settings.aws.credential_refresh_delay.nanos|int32||The value of this duration in nanoseconds.|
|settings.aws.fallbackToFirstFunction|bool||It will use the first function which if discovery is enabled the first function is the first function name alphabetically from the last discovery run. Defaults to false.|
|settings.rateLimit|interface||Partial config for Gloo Edge Enterprise’s rate-limiting service, based on Envoy’s rate-limit service; supports Envoy’s rate-limit service API. (reference here: https://github.com/lyft/ratelimit#configuration) Configure rate-limit descriptors here, which define the limits for requests based on their descriptors. Configure rate-limits (composed of actions, which define how request characteristics get translated into descriptors) on the VirtualHost or its routes.|
|settings.ratelimitServer|interface||External Ratelimit Server configuration for Gloo Edge Open Sources’s rate-limiting service, based on Envoy’s rate-limit service; supports Envoy’s rate-limit service API. (reference here: https://docs.solo.io/gloo-edge/main/guides/security/rate_limiting/)|
|settings.circuitBreakers.maxConnections|uint32||Set this field to specify the maximum number of connections that Envoy will make to the upstream cluster. If not specified, the default is 1024.|
|settings.circuitBreakers.maxPendingRequests|uint32||Set this field to specfify the maximum number of pending requests that Envoy will allow to the upstream cluster. If not specified, the default is 1024.|
|settings.circuitBreakers.maxRequests|uint32||Set this field to specfify the maximum number of parallel requests that Envoy will make to the upstream cluster. If not specified, the default is 1024.|
|settings.circuitBreakers.maxRetries|uint32||Set this field to specify the maximum number of parallel retries that Envoy will allow to the upstream cluster. If not specified, the default is 3.|
|settings.enableRestEds|bool|false|Whether or not to use rest xds for all EDS by default. Defaults to false.|
|settings.devMode|bool||Whether or not to enable dev mode. Defaults to false. Setting to true at install time will expose the gloo dev admin endpoint on port 10010. Not recommended for production.|
|settings.secretOptions.sources[].vault.address|string||Address of the Vault server. This should be a complete URL such as http://solo.io and include port if necessary (vault's default port is 8200).|
|settings.secretOptions.sources[].vault.rootKey|string||All keys stored in Vault will begin with this Vault this can be used to run multiple instances of Gloo against the same Vault cluster defaults to gloo.|
|settings.secretOptions.sources[].vault.pathPrefix|string||Optional. The name of a Vault Secrets Engine to which Vault should route traffic. For more info see https://learn.hashicorp.com/tutorials/vault/getting-started-secrets-engines. Defaults to 'secret'.|
|settings.secretOptions.sources[].vault.tlsConfig.caCert|string||Path to a PEM-encoded CA cert file to use to verify the Vault server SSL certificate.|
|settings.secretOptions.sources[].vault.tlsConfig.caPath|string||Path to a directory of PEM-encoded CA cert files to verify the Vault server SSL certificate.|
|settings.secretOptions.sources[].vault.tlsConfig.clientCert|string||Path to the certificate for Vault communication.|
|settings.secretOptions.sources[].vault.tlsConfig.clientKey|string||Path to the private key for Vault communication.|
|settings.secretOptions.sources[].vault.tlsConfig.tlsServerName|string||If set, it is used to set the SNI host when connecting via TLS.|
|settings.secretOptions.sources[].vault.tlsConfig.insecure|bool||Disables TLS verification when set to true.|
|settings.secretOptions.sources[].vault.accessToken|string||Vault token to use for authentication. Only one of accessToken or aws may be set.|
|settings.secretOptions.sources[].vault.aws.vaultRole|string||The Vault role we are trying to authenticate to. This is not necessarily the same as the AWS role to which the Vault role is configured.|
|settings.secretOptions.sources[].vault.aws.region|string||The AWS region to use for the login attempt.|
|settings.secretOptions.sources[].vault.aws.iamServerIdHeader|string||The IAM Server ID Header required to be included in the request.|
|settings.secretOptions.sources[].vault.aws.mountPath|string||The Vault path on which the AWS auth is mounted.|
|settings.secretOptions.sources[].vault.aws.accessKeyID|string||Optional. The Access Key ID as provided by the security credentials on the AWS IAM resource. In cases such as receiving temporary credentials through assumed roles with AWS Security Token Service (STS) or IAM Roles for Service Accounts (IRSA), this field can be omitted. https://developer.hashicorp.com/vault/docs/auth/aws#iam-authentication-inferences.|
|settings.secretOptions.sources[].vault.aws.secretAccessKey|string||Optional. The Secret Access Key as provided by the security credentials on the AWS IAM resource. In cases such as receiving temporary credentials through assumed roles with AWS Security Token Service (STS) or IAM Roles for Service Accounts (IRSA), this field can be omitted. https://developer.hashicorp.com/vault/docs/auth/aws#iam-authentication-inferences.|
|settings.secretOptions.sources[].vault.aws.sessionToken|string||The Session Token as provided by the security credentials on the AWS IAM resource.|
|settings.secretOptions.sources[].directory.directory|string||Directory to read secrets from.|
|settings.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gloo.deployment.xdsPort|int|9977|port where gloo serves xDS API to Envoy.|
|gloo.deployment.restXdsPort|uint32|9976|port where gloo serves REST xDS API to Envoy.|
|gloo.deployment.validationPort|int|9988|port where gloo serves gRPC Proxy Validation to Gateway.|
|gloo.deployment.proxyDebugPort|int|9966|port where gloo serves gRPC Proxy contents to glooctl.|
|gloo.deployment.stats.enabled|bool||Controls whether or not Envoy stats are enabled|
|gloo.deployment.stats.routePrefixRewrite|string||The Envoy stats endpoint to which the metrics are written|
|gloo.deployment.stats.setDatadogAnnotations|bool||Sets the default datadog annotations|
|gloo.deployment.stats.enableStatsRoute|bool||Enables an additional route to the stats cluster defaulting to /stats|
|gloo.deployment.stats.statsPrefixRewrite|string||The Envoy stats endpoint with general metrics for the additional stats route|
|gloo.deployment.stats.serviceMonitorEnabled|bool||Whether or not to expose an http-monitoring port that can be scraped by a Prometheus Service Monitor. Requires that 'enabled' is also true|
|gloo.deployment.stats.podMonitorEnabled|bool||Whether or not to expose an http-monitoring port that can be scraped by a Prometheus Pod Monitor. Requires that 'enabled' is also true|
|gloo.deployment.floatingUserId|bool||If true, allows the cluster to dynamically assign a user ID for the processes running in the container. If a SecurityContext is defined for the container, this value is not applied for the container.|
|gloo.deployment.runAsUser|float64||Explicitly set the user ID for the processes in the container to run as. Default is 10101. If a SecurityContext is defined for the pod or container, this value is not applied for the pod/container.|
|gloo.deployment.externalTrafficPolicy|string||Set the external traffic policy on the gloo service.|
|gloo.deployment.extraGlooLabels.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.labels data of the primary gloo deployment.|
|gloo.deployment.extraGlooAnnotations.NAME|string||Optional extra key-value pairs to add to the spec.template.metadata.annotations data of the primary gloo deployment.|
|gloo.deployment.livenessProbeEnabled|bool||Set to true to enable a liveness probe for Gloo Edge (default is false).|
|gloo.deployment.ossImageTag|string|<release_version, ex: 1.2.3>|Used for debugging. The version of Gloo OSS that the current version of Gloo Enterprise was built with.|
|gloo.deployment.podSecurityContext.seLinuxOptions.user|string|||
|gloo.deployment.podSecurityContext.seLinuxOptions.role|string|||
|gloo.deployment.podSecurityContext.seLinuxOptions.type|string|||
|gloo.deployment.podSecurityContext.seLinuxOptions.level|string|||
|gloo.deployment.podSecurityContext.windowsOptions.gmsaCredentialSpecName|string|||
|gloo.deployment.podSecurityContext.windowsOptions.gmsaCredentialSpec|string|||
|gloo.deployment.podSecurityContext.windowsOptions.runAsUserName|string|||
|gloo.deployment.podSecurityContext.windowsOptions.hostProcess|bool|||
|gloo.deployment.podSecurityContext.runAsUser|int64|||
|gloo.deployment.podSecurityContext.runAsGroup|int64|||
|gloo.deployment.podSecurityContext.runAsNonRoot|bool|||
|gloo.deployment.podSecurityContext.supplementalGroups[]|int64|||
|gloo.deployment.podSecurityContext.fsGroup|int64|||
|gloo.deployment.podSecurityContext.sysctls[].name|string|||
|gloo.deployment.podSecurityContext.sysctls[].value|string|||
|gloo.deployment.podSecurityContext.fsGroupChangePolicy|string|||
|gloo.deployment.podSecurityContext.seccompProfile.type|string|||
|gloo.deployment.podSecurityContext.seccompProfile.localhostProfile|string|||
|gloo.deployment.podSecurityContext.mergePolicy|string||How to combine the defined security policy with the default security policy. Valid values are "", "no-merge", and "helm-merge". If defined as an empty string or "no-merge", use the defined security context as is.  If "helm-merge", merge this security context with the default security context according to the logic of [the helm 'merge' function](https://helm.sh/docs/chart_template_guide/function_list/#merge-mustmerge). This is intended to be used to modify a field in a security context, while using all other default values. Please note that due to how helm's 'merge' function works, you can not override a 'true' value with a 'false' value, and for that case you will need to define the entire security context and set this values to false. Default value is "".|
|gloo.deployment.replicas|int|1|number of instances to deploy|
|gloo.deployment.customEnv[].name|string|||
|gloo.deployment.customEnv[].value|string|||
|gloo.deployment.customEnv[].valueFrom.fieldRef.apiVersion|string|||
|gloo.deployment.customEnv[].valueFrom.fieldRef.fieldPath|string|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.containerName|string|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.resource|string|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int64|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|int32|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor|bool|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|uint|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|int32|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|gloo.deployment.customEnv[].valueFrom.resourceFieldRef.divisor[]|string|||
|gloo.deployment.customEnv[].valueFrom.configMapKeyRef.name|string|||
|gloo.deployment.customEnv[].valueFrom.configMapKeyRef.key|string|||
|gloo.deployment.customEnv[].valueFrom.configMapKeyRef.optional|bool|||
|gloo.deployment.customEnv[].valueFrom.secretKeyRef.name|string|||
|gloo.deployment.customEnv[].valueFrom.secretKeyRef.key|string|||
|gloo.deployment.customEnv[].valueFrom.secretKeyRef.optional|bool|||
|gloo.deployment.restartPolicy|string||restart policy to use when the pod exits|
|gloo.deployment.priorityClassName|string||name of a defined priority class|
|gloo.deployment.nodeName|string||name of node to run on|
|gloo.deployment.nodeSelector.NAME|string||label selector for nodes|
|gloo.deployment.tolerations[].key|string|||
|gloo.deployment.tolerations[].operator|string|||
|gloo.deployment.tolerations[].value|string|||
|gloo.deployment.tolerations[].effect|string|||
|gloo.deployment.tolerations[].tolerationSeconds|int64|||
|gloo.deployment.affinity.NAME|interface|||
|gloo.deployment.hostAliases[]|interface|||
|gloo.deployment.initContainers[]|interface||[InitContainers](https://kubernetes.io/docs/reference/kubernetes-api/workload-resources/pod-v1/#containers) to be added to the array of initContainers on the deployment.|
|gloo.deployment.resources.limits.memory|string||amount of memory|
|gloo.deployment.resources.limits.cpu|string||amount of CPUs|
|gloo.deployment.resources.requests.memory|string||amount of memory|
|gloo.deployment.resources.requests.cpu|string||amount of CPUs|
|gloo.deployment.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gloo.deployment.image.tag|string|<release_version, ex: 1.2.3>|The image tag for the container.|
|gloo.deployment.image.repository|string|gloo|The image repository (name) for the container.|
|gloo.deployment.image.digest|string||The hash digest of the container's image, ie. sha256:12345....|
|gloo.deployment.image.fipsDigest|string||The hash digest of the container's fips image, ie. sha256:12345....  Only consumed if fips=true|
|gloo.deployment.image.registry|string||The image hostname prefix and registry, such as quay.io/solo-io.|
|gloo.deployment.image.pullPolicy|string||The image pull policy for the container. For default values, see the Kubernetes docs: https://kubernetes.io/docs/concepts/containers/images/#imagepullpolicy-defaulting|
|gloo.deployment.image.pullSecret|string||The image pull secret to use for the container, in the same namespace as the container pod.|
|gloo.deployment.image.extended|bool||If true, deploys an extended version of the container with additional debug tools.|
|gloo.deployment.image.fips|bool||If true, deploys a version of the data-plane containers that is built with FIPS-compliant crypto libraries. (Enterprise-only feature.)|
|gloo.deployment.glooContainerSecurityContext.capabilities.add[]|string|||
|gloo.deployment.glooContainerSecurityContext.capabilities.drop[]|string|||
|gloo.deployment.glooContainerSecurityContext.privileged|bool|||
|gloo.deployment.glooContainerSecurityContext.seLinuxOptions.user|string|||
|gloo.deployment.glooContainerSecurityContext.seLinuxOptions.role|string|||
|gloo.deployment.glooContainerSecurityContext.seLinuxOptions.type|string|||
|gloo.deployment.glooContainerSecurityContext.seLinuxOptions.level|string|||
|gloo.deployment.glooContainerSecurityContext.windowsOptions.gmsaCredentialSpecName|string|||
|gloo.deployment.glooContainerSecurityContext.windowsOptions.gmsaCredentialSpec|string|||
|gloo.deployment.glooContainerSecurityContext.windowsOptions.runAsUserName|string|||
|gloo.deployment.glooContainerSecurityContext.windowsOptions.hostProcess|bool|||
|gloo.deployment.glooContainerSecurityContext.runAsUser|int64|||
|gloo.deployment.glooContainerSecurityContext.runAsGroup|int64|||
|gloo.deployment.glooContainerSecurityContext.runAsNonRoot|bool|||
|gloo.deployment.glooContainerSecurityContext.readOnlyRootFilesystem|bool|||
|gloo.deployment.glooContainerSecurityContext.allowPrivilegeEscalation|bool|||
|gloo.deployment.glooContainerSecurityContext.procMount|string|||
|gloo.deployment.glooContainerSecurityContext.seccompProfile.type|string|||
|gloo.deployment.glooContainerSecurityContext.seccompProfile.localhostProfile|string|||
|gloo.deployment.glooContainerSecurityContext.mergePolicy|string||How to combine the defined security policy with the default security policy. Valid values are "", "no-merge", and "helm-merge". If defined as an empty string or "no-merge", use the defined security context as is.  If "helm-merge", merge this security context with the default security context according to the logic of [the helm 'merge' function](https://helm.sh/docs/chart_template_guide/function_list/#merge-mustmerge). This is intended to be used to modify a field in a security context, while using all other default values. Please note that due to how helm's 'merge' function works, you can not override a 'true' value with a 'false' value, and for that case you will need to define the entire security context and set this values to false. Default value is "".|
|gloo.serviceAccount.extraAnnotations.NAME|string||extra annotations to add to the service account|
|gloo.serviceAccount.disableAutomount|bool||disable automounting the service account to the gateway proxy. not mounting the token hardens the proxy container, but may interfere with service mesh integrations|
|gloo.serviceAccount.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gloo.splitLogOutput|bool||Set to true to send debug/info/warning logs to stdout, error/fatal/panic to stderr. Set to false to send all logs to stdout|
|gloo.service.kubeResourceOverride.NAME|interface||override fields in the generated resource by specifying the yaml structure to override under the top-level key.|
|gloo.logLevel|string||Level at which the pod should log. Options include "info", "debug", "warn", "error", "panic" and "fatal". Default level is info|
|gloo.disableLeaderElection|bool||Set to true to disable leader election, and ensure all running replicas are considered the leader. Do not enable this with multiple replicas of Gloo|
|gloo.headerSecretRefNsMatchesUs|bool||Set to true to require that secrets sent in headers via headerSecretRefs come from the same namespace as the destination upstream. Default: false|
|gloo.podDisruptionBudget.minAvailable|string||Corresponds directly with the _minAvailable_ field in the [PodDisruptionBudgetSpec](https://kubernetes.io/docs/reference/kubernetes-api/policy-resources/pod-disruption-budget-v1/#PodDisruptionBudgetSpec). This value is mutually exclusive with _maxUnavailable_.|
|gloo.podDisruptionBudget.maxUnavailable|string||Corresponds directly with the _maxUnavailable_ field in the [PodDisruptionBudgetSpec](https://kubernetes.io/docs/reference/kubernetes-api/policy-resources/pod-disruption-budget-v1/#PodDisruptionBudgetSpec). This value is mutually exclusive with _minAvailable_.|
|discovery.deployment.image.tag|string|<release_version, ex: 1.2.3>|The image tag for the container.|
|discovery.deployment.image.repository|string|discovery|The image repository (name) for the container.|
|discovery.deployment.image.digest|string||The hash digest of the container's image, ie. sha256:12345....|
|discovery.deployment.image.fipsDigest|string||The hash digest of the container's fips image, ie. sha256:12345....  Only consumed if fips=true|
|discovery.deployment.image.registry|string||The image hostname prefix and registry, such as quay.io/solo-io.|
|discovery.deployment.image.pullPolicy|string||The image pull policy for the container. For default values, see the Kubernetes docs: https://kubernetes.io/docs/concepts/containers/images/#imagepullpolicy-defaulting|
|discovery.deployment.image.pullSecret|string||The image pull secret to use for the container, in the same namespace as the container pod.|
|discovery.deployment.image.extended|bool||If true, deploys an extended version of the container with additional debug tools.|
|discovery.deployment.image.fips|bool||If true, deploys a version of the data-plane containers that is built with FIPS-compliant crypto libraries. (Enterprise-only feature.)|
|discovery.deployment.stats.enabled|bool||Controls whether or not Envoy stats are enabled|
|discovery.deployment.stats.routePrefixRewrite|string||The Envoy stats endpoint to which the metrics are written|
|discovery.deployment.stats.setDatadogAnnotations|bool||Sets the default datadog annotations|
|discovery.deployment.stats.enableStatsRoute|bool||Enables an additional route to the stats cluster defaulting to /stats|
|discovery.deployment.stats.statsPrefixRewrite|string||The Envoy stats endpoint with general metrics for the additional stats route|
